username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
Nubbins Inc,6778949221610587141,I’ve never heard such abject panic in my life 😂😂😂 #twitch #valorant #valorantclips #valorantfunny #twitchtok #CloseYourRings #ArbysDiabloDare,7054923933165817093,1642602481,53,{'duetFromId': '0'},"['twitch', 'valorant', 'valorantclips', 'valorantfunny', 'twitchtok', 'closeyourrings', 'arbysdiablodare']",Nubbins Inc,original sound,False,172200,31000,3100000,594,57900,552700,8033,3000000,2585
kud,6794924602130121733,the delay kills me #fyp #foryou #gaming #pc #valorant #minecraft #discord Thanks for watching!,6955580916475383046,1619472385,10,{'duetFromId': '0'},"['fyp', 'foryou', 'gaming', 'pc', 'valorant', 'minecraft', 'discord']",Chris Eshbaugh,original sound,False,192200,23400,5700000,652,15200,552500,21000,2500000,7192
TwitchEstabr0k,6791631359128454150,SHE'S JUMPING AROUND ME #fyp #valorant #estabr0k,7247288694292483374,1687391261,70,{'duetFromId': '0'},"['fyp', 'valorant', 'estabr0k']",TwitchEstabr0k,original sound - TwitchEstabr0k,False,211000,8497,17800000,1200,39100,552600,6547,3300000,1969
Tali,7051022032330785797,Kyedae wakes up Tenz for 1 round in Valorant #valorant #tenz #kyedae #fyp,7168511997099789611,1669049274,43,{'duetFromId': '0'},"['valorant', 'tenz', 'kyedae', 'fyp']",Tali,original sound,False,5611,435,753100,246,33300,552300,4850,3700000,1321
valorant_immo,7027727513095816197,is it still? #valorant #valorantclips #valorantgaming,7059393197801213189,1643643063,25,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantgaming']",valorant_immo,original sound,False,16700,314,3900000,49,16800,551600,12200,4400000,2779
ErenJigar,7126086564689806341,Raze flash in New update  #valorant #valorantclips #valorantfunny #fun #funny #valorantmemes #valorantfunnymoments ,7243458834579115270,1686499185,21,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantfunny', 'fun', 'funny', 'valorantmemes', 'valorantfunnymoments']",ErenJigar,original sound,False,19100,35700,2600000,111,30400,551500,5455,5000000,1222
7kause,7129255205493638150,most annoying thing ever #valorant #valorantclips #valorantflash #valorantmemes #fyp #fypシ #valorantimmortal #valorantrank #valorantranked,7129258053043604742,1659909745,16,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantflash', 'valorantmemes', 'fyp', 'fypシ', 'valorantimmortal', 'valorantrank', 'valorantranked']",7kause,original sound,False,2710,1003,550700,1,41300,550500,21100,4500000,3573
PhantomSky ☁️,7075286235300561962,#answer to @jamie_holohan one of my favorites I’ve ever made #valorant #valorantclips #sage #twitch #fypシ ,7182661768236387630,1672343776,12,{'duetFromId': '0'},"['answer', '', 'valorant', 'valorantclips', 'sage', 'twitch', 'fypシ']",PhantomSky ☁️,original sound,False,31100,1000,3000000,328,56300,550400,4801,3100000,1692
Payko,6793321421004375046,Flash warning ‼️ #foryou #valorant #slowmo #val #valorantclip,7058299904128568623,1643388511,8,{'duetFromId': '0'},"['foryou', 'valorant', 'slowmo', 'val', 'valorantclip']",Payko,original sound,False,171100,5278,12500000,243,16200,550200,8844,5300000,2854
Theakstudio_col,119274600718348288,#valorant #3d #gamer #game #fyp #ghost #glitchpop,7035408326628363525,1638058650,19,{'duetFromId': '0'},"['valorant', '3d', 'gamer', 'game', 'fyp', 'ghost', 'glitchpop']",Kiwisito,Kiwi Secta,False,127800,24000,4300000,72,13800,550100,12000,3500000,5842
Lillua,7110351555257762821,He tried to steal my daddy🤷‍♀️ #valorantfunny #fyp #valorant #daddy,7131869800665582853,1660517841,84,{'duetFromId': '0'},"['valorantfunny', 'fyp', 'valorant', 'daddy']",Lillua,original sound,False,21400,313,1400000,51,44600,549000,2790,2800000,1167
AcreTheDog,7038769708586402822,Crazy NEW 200 IQ Cypher Strategy! I found a new wall bang spot on Bind and decided to make a Cypher setup to abuse it! #valorant #valotok #cypher #cyphermain #cyphersetup  #riotgames #fyp #foryou #foryoupage #twitchstreamer #vtuber #husky #game #bind #guide #acre #acrethedog #200IQ ,7252475204750953754,1688598491,43,{'duetFromId': '0'},"['valorant', 'valotok', 'cypher', 'cyphermain', 'cyphersetup', 'riotgames', 'fyp', 'foryou', 'foryoupage', 'twitchstreamer', 'vtuber', 'husky', 'game', 'bind', 'guide', 'acre', 'acrethedog', '200iq']",AcreTheDog,original sound,False,129600,665,3900000,57,112800,548800,15700,4900000,1903
Jimmy Kim,6798959726362657797,Weeb Alert 🤣 #foryou #fyp #comedy #lol #valorant #korean #korea #anime #valorantclips #gaming #gamer #meme #funny #fun #nerd #weeb #otaku #japan,6825336098999258374,1589147404,47,{'duetFromId': '0'},"['foryou', 'fyp', 'comedy', 'lol', 'valorant', 'korean', 'korea', 'anime', 'valorantclips', 'gaming', 'gamer', 'meme', 'funny', 'fun', 'nerd', 'weeb', 'otaku', 'japan']",Jimmy Kim,original sound,False,663500,372,21200000,322,32200,548500,10900,2800000,3438
